"Kuukausi","Hyödyke","Indeksipisteluku"
"2021M05","04.1 Todelliset asumisvuokrat",110.89
"2021M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",103.60
"2021M06","04.1 Todelliset asumisvuokrat",110.96
"2021M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",103.60
"2021M07","04.1 Todelliset asumisvuokrat",111.08
"2021M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",105.36
"2021M08","04.1 Todelliset asumisvuokrat",111.12
"2021M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.88
"2021M09","04.1 Todelliset asumisvuokrat",111.18
"2021M09","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.88
"2021M10","04.1 Todelliset asumisvuokrat",111.28
"2021M10","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.78
"2021M11","04.1 Todelliset asumisvuokrat",111.31
"2021M11","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.23
"2021M12","04.1 Todelliset asumisvuokrat",110.86
"2021M12","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.23
"2022M01","04.1 Todelliset asumisvuokrat",111.12
"2022M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",105.85
"2022M02","04.1 Todelliset asumisvuokrat",111.16
"2022M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",105.55
"2022M03","04.1 Todelliset asumisvuokrat",111.76
"2022M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",105.55
"2022M04","04.1 Todelliset asumisvuokrat",111.86
"2022M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",105.55
"2022M05","04.1 Todelliset asumisvuokrat",111.95
"2022M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.58
"2022M06","04.1 Todelliset asumisvuokrat",112.03
"2022M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.58
"2022M07","04.1 Todelliset asumisvuokrat",112.15
"2022M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",107.49
"2022M08","04.1 Todelliset asumisvuokrat",112.22
"2022M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",108.88
"2022M09","04.1 Todelliset asumisvuokrat",112.30
"2022M09","04.6.1.1 Osakehuoneistot ja kiinteistöt",108.88
"2022M10","04.1 Todelliset asumisvuokrat",112.44
"2022M10","04.6.1.1 Osakehuoneistot ja kiinteistöt",108.21
"2022M11","04.1 Todelliset asumisvuokrat",112.57
"2022M11","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.97
"2022M12","04.1 Todelliset asumisvuokrat",112.62
"2022M12","04.6.1.1 Osakehuoneistot ja kiinteistöt",106.97
"2023M01","04.1 Todelliset asumisvuokrat",113.14
"2023M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.92
"2023M02","04.1 Todelliset asumisvuokrat",113.33
"2023M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.92
"2023M03","04.1 Todelliset asumisvuokrat",113.65
"2023M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.92
"2023M04","04.1 Todelliset asumisvuokrat",113.96
"2023M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.33
"2023M05","04.1 Todelliset asumisvuokrat",114.10
"2023M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.10
"2023M06","04.1 Todelliset asumisvuokrat",114.21
"2023M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.10
"2023M07","04.1 Todelliset asumisvuokrat",114.59
"2023M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.41
"2023M08","04.1 Todelliset asumisvuokrat",114.71
"2023M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.74
